SPEC_ID,NAME,RA,DEC,Z,Quality,HB_score,HA_score,OIII_score,HB_width,HA_width,OIII_width,Std,Two_mad,Three_mad,Good_twomad,Good_threemad,Narrow_2si,Narrow_3si,Narrow_3si_6
33275,g0548190-290456,87.07895833,-29.08213889,0.024616,4,0.344888005,1.39097246,0.796473165,4.4294643,5.107018007,0.38152112,0.136828316,0.118240611,0.177360917,true,true,true,true,true
33277,g0547412-293857,86.92166667,-29.64908333,0.060427,4,0.991324558,0.300386231,0.783764903,4.796946258,3.122784279,0.323110767,0.14444594,0.109972895,0.164959342,true,true,true,true,true
33278,g0547138-295039,86.80729167,-29.84422222,0.059258,4,0.222223675,0.182613667,0.269959763,4.379953535,4.072613536,5.386881106,0.09532421,0.077498621,0.116247931,true,true,true,true,true
33280,g0546428-300750,86.678375,-30.13058333,0.033788,4,0.773605957,0.181878745,0.914980574,4.16901052,2.892390152,0.428884478,0.096984136,0.071039376,0.106559064,true,true,true,true,true
33284,g0549441-301758,87.43391667,-30.29930556,0.048918,4,0.238492139,0.426582153,1.325230612,5.162686437,0.954914198,0.638185722,0.132526005,0.103038679,0.154558018,true,true,true,true,true
33285,g0551593-301015,87.99704167,-30.17075,0.033238,4,0.540865606,1.600328741,0.811052422,4.297749605,5.762189224,0.372328368,0.198908409,0.174751632,0.262127448,true,true,true,true,true
33297,g0552022-311856,88.00920833,-31.31547222,0.03347,4,0.598734639,0.402747525,4.123135802,4.452957633,1.572203657,2.051395734,0.227694125,0.089155951,0.133733927,true,true,true,true,true
33326,g0537022-343805,84.25916667,-34.63472222,0.015757,4,0.629679585,2.391777921,1.515267198,4.350160927,4.834077263,0.711395877,0.175575455,0.126728876,0.190093315,true,true,true,true,true
33327,g0546305-324321,86.62691667,-32.72261111,0.036001,4,0.396310534,1.318012142,0.50898475,4.344605053,5.050476307,0.233444822,0.115997846,0.104741396,0.157112095,true,true,true,true,true
33340,g0540234-313405,85.09745833,-31.56797222,0.063488,4,0.28437414,0.934166679,0.174911013,4.540018359,5.350376566,0.030778784,0.136787847,0.106063497,0.159095246,true,true,true,true,true
33344,g0542054-300336,85.52266667,-30.05997222,0.061419,4,1.164939415,0.321247551,1.288314569,5.046170241,1.551843603,0.622712194,0.115639168,0.070568892,0.105853338,true,true,true,true,true
33345,g0545433-301047,86.43033333,-30.17977778,0.03744,4,0.64696321,1.664874139,0.71773222,4.235683195,5.624796426,0.352448713,0.121216456,0.099553826,0.149330739,true,true,true,true,true
33351,g0549361-301760,87.40025,-30.29991667,0.048292,4,0.594930802,0.47924912,0.372215775,5.764906552,2.077286284,0.169527455,0.105230597,0.067049093,0.10057364,true,true,true,true,true
33352,g0548550-305418,87.229,-30.90497222,0.026961,4,0.832743777,0.128265615,1.72745118,4.564708099,2.356997105,0.847685536,0.092504534,0.063253565,0.094880347,true,true,true,true,true
33356,g0551162-310617,87.81758333,-31.10469444,0.037832,4,0.157857205,0.280158089,0.147170757,4.203500177,3.792635443,0.034305053,0.065867246,0.051500138,0.077250207,true,true,true,true,true
33359,g0551145-314601,87.81054167,-31.76691667,0.031452,4,0.103539792,0.169966343,0.124509739,4.110592874,3.624548527,0.038994144,0.092083968,0.065959115,0.098938672,true,true,true,true,true
33360,g0550210-315916,87.587375,-31.98763889,0.033312,4,0.59098222,0.196252855,0.504144819,4.436058528,3.24999246,0.23357886,0.084200095,0.062431639,0.093647458,true,true,true,true,true
33364,g0554237-321541,88.59891667,-32.26136111,0.025983,4,0.641666091,1.85013622,1.737562804,4.742474089,5.973549519,0.860475602,0.174251707,0.113430685,0.170146027,true,true,true,true,true
33367,g0549175-322935,87.32270833,-32.493,0.068122,4,0.330313567,0.143769197,0.191677626,4.769743826,4.685840732,0.073955211,0.111582319,0.083560218,0.125340327,true,true,true,true,true
33368,g0549378-322336,87.40758333,-32.39338889,0.052562,4,0.366806956,0.895213322,0.194331879,4.274190159,5.437815908,0.061932379,0.142432779,0.113844711,0.170767067,true,true,true,true,true
33370,g0554483-325424,88.70125,-32.90669444,0.025834,4,0.916862473,1.352872058,1.656216735,4.877327639,5.340281341,0.824274573,0.200537838,0.128145676,0.192218514,true,true,true,true,true
33371,g0556551-331111,89.22941667,-33.18644444,0.009694,4,0.972009521,2.321823011,2.586232588,4.133991627,5.883392767,1.276313484,0.205872872,0.124308521,0.186462782,true,true,true,true,true
33379,g0551345-333133,87.89391667,-33.52588889,0.033333,4,1.064876419,0.134106818,1.015821948,4.393975973,4.479313196,0.498231871,0.11903529,0.075035968,0.112553952,true,true,true,true,true
33380,g0549192-331846,87.33004167,-33.31272222,0.025682,4,0.530885406,0.109550029,0.355097796,4.715280018,2.818440128,0.156115577,0.103165545,0.072053473,0.10808021,true,true,true,true,true
33391,g0550524-341055,87.718125,-34.18191667,0.036672,4,0.246081164,0.199181888,0.164538298,4.61939916,3.589516045,0.049957734,0.095371728,0.073496973,0.110245459,true,true,true,true,true
33396,g0545341-143636,86.392,-14.60986111,0.027918,4,1.039559096,0.372929742,0.613718046,4.623855376,3.448807752,0.281734086,0.083966136,0.073859805,0.110789707,true,true,true,true,true
33398,g0544215-135312,86.08975,-13.88661111,0.040338,4,0.779015007,0.544490529,0.545493415,4.613485787,3.429523183,0.2716849,0.082117352,0.074655925,0.111983888,true,true,true,true,true
33399,g0542166-141443,85.56929167,-14.24530556,0.042017,4,0.93461313,0.636838225,0.793750694,5.123442821,2.932344494,0.384439334,0.101919536,0.087242304,0.130863456,true,true,true,true,true
33411,g0540534-122224,85.22266667,-12.37327778,0.022785,4,0.454520428,0.333816099,3.105423113,4.81530404,3.110938743,1.528738823,0.144770388,0.082149662,0.123224493,true,true,true,true,true
33419,g0539266-120011,84.86075,-12.00305556,0.063636,4,1.027117431,0.536212462,0.163402709,4.893979401,3.64580616,0.070095329,0.113706398,0.083146718,0.124720077,true,true,true,true,true
33428,g0541275-105201,85.36454167,-10.86686111,0.080327,4,1.479972439,0.78967631,0.784909547,5.221770331,3.006725295,0.31717032,0.237628027,0.223911187,0.33586678,true,true,true,true,true
33441,g0547387-103552,86.91120833,-10.59783333,0.011577,4,3.624499433,0.859026474,11.71381978,4.673180713,2.440894832,5.857537745,0.454195507,0.259575752,0.389363628,true,true,true,true,true
33457,g0552332-112229,88.138375,-11.37477778,0.021969,4,0.721933249,1.306106807,10.06534388,4.534905801,3.163511717,5.021258278,0.380606501,0.090877068,0.136315602,true,true,true,true,true
33460,g0553023-114420,88.25970833,-11.73880556,0.010719,4,2.305010808,0.536283049,3.573682491,4.16263089,2.787583059,1.774427825,0.147575772,0.069373858,0.104060788,true,true,true,true,true
33471,g0558023-125548,89.50966667,-12.92988889,0.003061,4,3.990468756,0.173493523,20.64126586,4.203043746,3.244929451,4.438493257,0.702882461,0.062017064,0.093025596,true,true,true,true,true
33492,g0549277-150705,87.36541667,-15.11791667,0.04037,4,0.559821549,0.407224408,2.859167927,4.47201021,3.954715033,1.422994122,0.135990548,0.083964015,0.125946023,true,true,true,true,true
33499,g0547224-653858,86.843375,-65.64952778,0.034783,4,0.704302685,0.370205552,0.143125857,4.690677574,3.4267405,0.051646972,0.074411201,0.063486194,0.095229291,true,true,true,true,true
33511,g0537216-650409,84.34008333,-65.06908333,0.076851,4,1.055357452,0.443818396,0.580354641,5.297441473,2.486592541,0.259431765,0.095650535,0.081937103,0.122905655,true,true,true,true,true
33521,g0538370-633531,84.65425,-63.59205556,0.01533,4,2.66289386,0.561399524,3.30445997,4.506471338,2.822019437,1.634468043,0.145859656,0.078872318,0.118308478,true,true,true,true,true
33542,g0611277-651313,92.86525,-65.22027778,0.046708,4,0.373175185,0.320523337,0.296728328,4.462434413,3.233545771,0.072241494,0.205509923,0.177353567,0.26603035,true,true,true,true,true
33551,g0604029-661239,91.01220833,-66.21080556,0.039736,4,0.682869369,0.365891328,0.37456725,4.221008292,3.717367386,0.156002851,0.120024971,0.097693989,0.146540984,true,true,true,true,true
33561,g0549465-344852,87.443625,-34.81444444,0.033884,4,1.72470396,0.174978372,2.182859675,4.425567809,3.279604444,1.073377948,0.19384323,0.088191488,0.132287232,true,true,true,true,true
33571,g0539583-353854,84.99291667,-35.64833333,0.035581,4,0.574315363,0.221600225,0.201646309,4.38319124,3.761765043,0.039645851,0.142960109,0.118658625,0.177987938,true,true,true,true,true
33588,g0547578-330519,86.990625,-33.0885,0.033364,4,0.316390343,0.142041764,0.277223275,4.260352005,3.522902466,0.119527534,0.077067809,0.064871044,0.097306565,true,true,true,true,true
33598,g0549405-332822,87.41866667,-33.47283333,0.025674,4,0.475284963,1.036867616,0.783830883,3.717070973,5.142549372,0.350740498,0.107497807,0.09070042,0.136050631,true,true,true,true,true
